Feedback,Area
"we should add a test function to co.classify, to compare classifier to naive classifier",Product area 3
"we should add a mechanism to allow finetine models to take in prompt, completion json, or task to be executed",Product area 4
we should add some demos on how to install a finetine model to your custom domain,Product area 1
we should add a summary of all evaluations in one page,Product area 2
we should add custom fields for customer-facing endpoints to the admin,Product area 3
we should add the ability to send to customers a dashboard with their model,Product area 4
we should add some more detailed tutorials on how to install finetine models on custom domains,Product area 1
we should add a function to run our finetine models through the finetine validation service,Product area 2
where can we see the monthly usage of the different features?,Product area 1
please add a graph to co.classify to see the change of the embeddings over time,Product area 2
I want to have more than 3 results per endpoints,Product area 3
I want to see the docs for the metrics endpoint in the SDK,Product area 3
how can I use finetine models to predict language or sentiment?,Product area 2
how can we save embeddings and truncate models in the web app,Product area 4
where can I see the use cases of the language classifiers?,Product area 1
where can we find all customers using our API?,Product area 1
how can I build and deploy a custom finetuned language model in the platform?,Product area 4
I want to have an option to update the embeddings on the fly,Product area 4
what are the new customer use cases?,Product area 1
how can I set up custom analyzers to run in parallel?,Product area 1
how can we understand the different use cases of finetine,Product area 1
where can I see the use cases of the embeddings?,Product area 1
I would love to see a simple explanation of how the finetine technology works and why it's so accurate,Product area 1
I would like to see the benchmark we have set for co.classify,Product area 2
how can we get a sentiment classification for a new language?,Product area 2
is there any way to see the F1 score of a finetine model?,Product area 2
what is the range of possible NER for text?,Product area 2
can we see a graph of our results on the benchmarks,Product area 2
"we should add a tab for ""hot topics""",Product area 4
make the pricing page more self-explanatory,Product area 1
add an endpoint to check the quota,Product area 3
how can we filter our benchmarks by categories?,Product area 2
where can we save custom models?,Product area 4
please allow us to reset our passwords via email,Product area 4
I want to add new endpoints and have it work the same way as embed,Product area 3
I would like to use truncate for my co.load embeddings,Product area 3
I want to see the responses to my /v1/endpoints endpoint.,Product area 3
I want to change the classifier results endpoint from 100 to 1000 results,Product area 3
I want to see the embeddings API for Finetine,Product area 3
how can we implement text and language selection in the web app,Product area 4
make the embedding and truncate models available via the web app,Product area 4
how can we save our config in the web app,Product area 4
could you show a small example of how we could use a sentiment classifier to tag an article?,Product area 1
"why do the 'learning' stats drop down, how can I help to improve the accuracy?",Product area 2
how can I see how many people in our organization use the app?,Product area 1
I want to have a clear overview of the different pricing models,Product area 1
where can we find out more about language generation?,Product area 1
"there's no way to see the logs of the current user on the dashboard, the user has to email",Product area 1
where can I see the monthly usage of the different features?,Product area 1
what are the best params for finetuning models to summarize text?,Product area 2
how can we compare our models with the best baselines?,Product area 2
I want to compare the summary results of finetune vs. baseline models,Product area 2
why is the ROC curve for my model so different than the benchmarks?,Product area 2
I want to have a way to compare the output of the models with human annotation,Product area 2
"we should add find_all to the endpoints, so I can just call it with the same path as the classifier",Product area 3
"I want to see the exact label, instead of the simple label string in the API response",Product area 3
where can I see the co.classify training documents in a single endpoint?,Product area 3
I want to see more examples of use cases and examples of the metrics endpoint,Product area 3
we need a feedback mechanism for the endpoints,Product area 3
"We need to make embedding annotation easier, right now it requires a lot of manual work",Product area 4
please add support unlabelled finetuning support for topic modelling,Product area 4
the search endpoint should be able to search by text and by embeddings,Product area 3
is there a way to save embeddings and truncate models for the web app,Product area 4
can we create a way to save presets to classify in the web app?,Product area 4
I want to see the datasets for finetine models in the web app,Product area 4
I'd like to have a way to save all the models that we train on the web platform,Product area 4
we should be able to delete notebooks and embeddings from the console,Product area 4
I want to see how many people have a free account,Product area 1
the model documentation needs to be reorganized,Product area 1
"the navigation in the app is a little confusing, can you add some more indicators of the pages?",Product area 4
what is the most popular customer use case?,Product area 1
why are we not able to search for all customers in the portal?,Product area 1
where can I find an overview of the new customers,Product area 1
what is the most common way to classify input text,Product area 1
I want to have an overview of the overall usage of our models,Product area 1
The scoring system should provide more detailed insights about the mistakes made,Product area 2
How do we compare against the other publicly available evaluation methods,Product area 2
Let us filter by classifier type to more easily evaluate models,Product area 2
can we compare our results to other platforms that perform on similar tasks,Product area 2
How do we perform at sentiment analysis on tweets,Product area 2
"I didn't find an easy way to request for a different set of documents, that can be in multiple languages.",Product area 4
It would be really nice to add a way to share code snippets on our social networks,Product area 4
"like to be able to ""x"" out the selected suggestion in the list",Product area 4
Reorganize the build process of a demo in the platform,Product area 4
current UI design is lacking in aesthetics,Product area 4
"the documentation is hard to follow, would like to see more screenshots",Product area 1
documentation for how to write an API request for the new co.classify API features,Product area 3
should allow for an object to be specified on the response (the returned response is dict) to make it easier to modify existing APIs,Product area 3
a status field on the endpoint should be present,Product area 3
Open endpoints should have both a way to train and a way to score model parameters,Product area 3
Most of the endpoints need to be combined with the previous endpoint which is unclear and unintuitive,Product area 3
"I'd love to be able to get model scores on a given endpoint, so I can easily update/verify my model",Product area 2
"I would like to know what is the average performance of all the endpoints, not only the fastest",Product area 2
Better UX around 'Save' button on each step of an experiment,Product area 4
Improve the feedback api,Product area 3
We should be capturing all top of funnel user feedback ,Product area 1
"Add ""early adopter"" level of support to cohere for select users",Product area 1
Request an email on behalf of users who abandon their projects,Product area 1
"There's a lot of potential here, but it needs a lot of work to get there. In particular, the signup flow and account verification are very painful.",Product area 1
Use live chat on the platform,Product area 1
Automate the process of tracking new features/improvements and posting them to the UI. Ideally have a single place for all these updates.,Product area 1
"Measure our performance at extracting sentences from a word document to unlock more customer use cases
",Product area 2
i would like to compare co.pipeline against the state of the art on out-of-the-box neural language models. is there a dataset available,Product area 2
How do we compare against spacy on topic modelling,Product area 2
How do we perform on topic detection with mixed-word vocabulary (ie. search a large corpus and find topics where the words are a mix of english and latin),Product area 2
How do we compare against pandora on language detection (not-so-accurate result),Product area 2
How do we do concordance detection?,Product area 2
How do we evaluate our ability to scale on these use cases,Product area 2
Shouldn't there be a way to bulk update packages? It's annoying to make a change and then save it,Product area 3
It would be great to provide a summary of the most popular code snippets in the playground,Product area 1
What are your favorite tools to monitor model performance? I would like to see more of this.,Product area 2
"a simple, easy way to test a model on the platform",Product area 4
User interface improvements to filter and/or group similar results,Product area 4
Pulling the weights from one model to another model would be awesome. especially for finetuning a model when the classifier is not that accurate,Product area 4
running the APIs in the platform would be good. at the moment i have to go into the github repo to run my code.,Product area 4
"Pre-select all fields that are relevant when fetching the platform, and  Allow for further abstraction of different parts of the platform",Product area 4
Error when i type a valid API key in the registration form,Product area 4
"this model is so slow, it's too hard to debug",Product area 4
"include images, and videos in the evaluation tasks",Product area 2
Adding get_score and update_score functions to the API to allow for fine-tuning models,Product area 3
Create a docs section with installation and operation guides for new users,Product area 1
"make the REST api easily usable for developers, not just for users. for instance, there's no way to set a version or deploy in a dev environment",Product area 3
"Error log should be an argument in the endpoints, not a hidden field",Product area 3
"when running a job, if there are retraining suggestions, it would be nice to trigger these directly from the platform. it would be nice if i could just ""kick off training of model""",Product area 4
"Would be nice to define a custom generator in the client side, the endpoints are in a model that cannot be easily integrated with django",Product area 4
"always return unmodified docs as text/plain, so that we can use pandoc to convert the plain text to html",Product area 3
"Instead of sending two emails with the code, it would be nice to get a callback or something similar to the old regex functionality. We could also look into a better/simpler version of the endpoint that would use an API",Product area 3
"use multiple documents in a job, and display on the endpoint page the progress of the model",Product area 4
Refactor all endpoint URL endings to /_version/2.x,Product area 3
"Verifying that the endpoint is ready to be used is super tedious, you should build in a check so that the endpoint has all the components in place",Product area 3
documentation for endpoints should be more complete and refer to more resources for common use cases,Product area 3
"Wanted to create a new model, but it does not show in the UI, can't do it via the endpoint",Product area 3
"It would be nice to have access to some sample test documents, maybe even from legal.gov or similar.",Product area 4
"It would be nice to have an endpoint that would be useful for debugging the models, in the same way that the platform model_test_endpoint is used",Product area 3
Offer a larger free tier for smaller companies who are experimenting with NLP,Product area 1
provide a trial version of the platform with some examples so that the user can see the platform in action before paying,Product area 1
Use autocode to automatically generate documentation for your api,Product area 3
"When creating a team or project in the platform, don't give us the option to 'allow team members to see other team members'. It's very distracting and has no real utility",Product area 4
add code snippets to existing notebooks so that people don't have to start from scratch,Product area 1
Integrate with machine learning competitions like Kaggle and also maybe a subreddit for users to post solutions they have created,Product area 1
It would be nice to have a CLI for the platform,Product area 3
Design some kind of framework for webhooks,Product area 3
Use email list signups to have users invite other people to join cohere,Product area 1
make cohere go available as an open source project so we can learn from it and extend it. open source approach will create an awesome community to help us grow ###,Product area 1
"Partner with a third party platform to make it easy to send ""subscribe"" emails for your users to subscribe to updates.",Product area 1
"Can we enable a special free tier to allow for more experiments on our endpoints? maybe have a few limits like free users can only create 1 account/repo, or 1 project/account.",Product area 1
